"X","Unnamed..0","Time","Engine_Coolant_Temperature_degreesC","Intake_Manifold_Absolute_Pressure_kPa","Engine_RPM_RPM","Vehicle_Speed_Sensor_km_h","Intake_Air_Temperature_degreesC","Air_Flow_Rate_from_Mass_Flow_Sensor_g_s","Absolute_Throttle_Position_","Ambient_Air_Temperature_degreesC","Accelerator_Pedal_Position_D_","Accelerator_Pedal_Position_E_","label","Engine_Coolant_Temperature_A_degreesC","Intake_Air_Temperature_A_degreesC","Ambient_Air_Temperature_A_degreesC","distance_from_1","Predicted_Air_Flow_Rate_from_Mass_Flow_Sensor_g_s"
29732,2551296,"09:39:14.715",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29733,2551297,"09:39:14.806",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29731,2551295,"09:39:14.595",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29730,2551294,"09:39:14.475",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29729,2551293,"09:39:14.383",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,55.38,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29728,2551292,"09:39:14.264",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,55.38,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29727,2551291,"09:39:14.174",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,55.38,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29735,2551299,"09:39:15.046",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
29734,2551298,"09:39:14.895",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.5460018838065,43.2189790032864
30640,2552244,"09:41:05.567",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.19,83.5,2.08978457261987,47.8,48.6,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9539317902525
30642,2552246,"09:41:05.776",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.19,83.5,2.08978457261987,47.8,48.6,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9539317902525
30638,2552242,"09:41:05.264",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.72,83.5,2.08978457261987,47.8,48.6,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9539317902525
30643,2552247,"09:41:05.896",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.19,83.5,2.08978457261987,47.8,48.6,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9539317902525
30644,2552248,"09:41:06.044",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.19,83.5,2.08978457261987,47.8,48.2,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9312300246848
30645,2552249,"09:41:06.194",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.19,83.5,2.08978457261987,47.8,48.2,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9312300246848
30641,2552245,"09:41:05.654",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.19,83.5,2.08978457261987,47.8,48.6,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9539317902525
30639,2552243,"09:41:05.444",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.72,83.5,2.08978457261987,47.8,48.6,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7196115608799,44.9539317902525
29258,2550822,"09:38:18.433",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.44,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29259,2550823,"09:38:18.616",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.44,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29261,2550825,"09:38:18.793",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
